# schiff.py generated official result file
Name,date played, games played, my wins, my losses, my bads, your errors, your unexpected, my win ratio
None, 2024-05-08T11:19:45.020573, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-08T11:23:02.106217, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T09:09:45.459581, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T09:23:51.259300, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T09:33:58.353284, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T09:50:51.761004, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T09:52:08.140022, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T10:04:30.322354, 229, 0, 0, 0, 228, 0, 0.000000
None, 2024-05-15T10:09:36.275749, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T10:26:35.298453, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T10:29:44.731123, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T10:38:58.584474, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T10:41:17.673478, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T10:48:22.423818, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T10:52:25.461616, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:01:46.116142, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:03:25.727654, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:06:35.883790, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:07:52.882276, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:08:28.055985, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:09:23.957332, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:11:32.731136, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:12:57.573547, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:13:56.850867, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:15:39.967143, 2, 0, 0, 1, 0, 0, 0.000000
None, 2024-05-15T11:21:57.510453, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:24:56.256314, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:31:29.090081, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:35:13.181082, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:39:27.849914, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:46:05.148567, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T11:47:14.487428, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:49:03.386974, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:49:23.971742, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:49:57.944058, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:50:34.353057, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:51:20.302886, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:51:48.697415, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:54:05.558563, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:54:41.974981, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:55:31.324708, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:56:18.017096, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:57:03.105289, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T11:58:08.225775, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:58:20.164124, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T11:58:35.560654, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T12:10:34.817576, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T12:10:45.546071, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T17:58:16.797530, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T17:59:59.604153, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T18:13:18.422144, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T18:39:38.172699, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T18:40:20.435494, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T18:41:27.879122, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T18:42:22.873261, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T18:43:06.821167, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T18:48:26.667563, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T18:49:31.716953, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T18:51:49.365459, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T18:52:33.955530, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T18:53:51.206533, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T18:58:24.283387, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T19:20:18.045093, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T19:34:59.059895, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-05-15T19:51:21.655127, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-05-15T19:51:26.806326, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-05-15T20:13:09.188183, 2, 0, 0, 0, 1, 0, 0.000000
